#T(H:M:S)     AZ(D)      ELV(D)   RANGE(NS)       US         H'          A'       Rate[X]
## tb071115
 08:09:14    59.1186     5.0250    16955562.9    16955.56  05:01:30   059:07:07  -0.00000
 08:09:15    59.2761     5.0542    16937151.8    16937.15  05:03:15   059:16:34  -0.00000
 08:09:16    59.4339     5.0832    16918844.0    16918.84  05:05:00   059:26:02  -0.00000
 08:09:17    59.5920     5.1122    16900640.0    16900.64  05:06:44   059:35:31  -0.00000
 08:09:18    59.7504     5.1410    16882539.9    16882.54  05:08:28   059:45:02  -0.00000
 08:09:19    59.9093     5.1697    16864544.4    16864.54  05:10:11   059:54:33  -0.00000
 08:09:20    60.0684     5.1983    16846653.6    16846.65  05:11:54   060:04:06  -0.00000
 08:09:21    60.2279     5.2267    16828867.9    16828.87  05:13:36   060:13:41  -0.00000
 08:09:22    60.3878     5.2550    16811187.8    16811.19  05:15:18   060:23:16  -0.00000
 08:09:23    60.5480     5.2832    16793613.5    16793.61  05:17:00   060:32:53  -0.00000
 08:09:24    60.7085     5.3113    16776145.4    16776.15  05:18:41   060:42:31  -0.00000
 08:09:25    60.8694     5.3392    16758783.9    16758.78  05:20:21   060:52:10  -0.00000
 08:09:26    61.0306     5.3670    16741529.4    16741.53  05:22:01   061:01:50  -0.00000
 08:09:27    61.1921     5.3947    16724382.1    16724.38  05:23:41   061:11:32  -0.00000
 08:09:28    61.3540     5.4223    16707342.5    16707.34  05:25:20   061:21:15  -0.00000
 08:09:29    61.5163     5.4497    16690410.9    16690.41  05:26:59   061:30:59  -0.00000
 08:09:30    61.6788     5.4769    16673587.6    16673.59  05:28:37   061:40:44  -0.00000
 08:09:31    61.8417     5.5041    16656873.1    16656.87  05:30:15   061:50:30  -0.00000
 08:09:32    62.0050     5.5311    16640267.6    16640.27  05:31:52   062:00:18  -0.00000
 08:09:33    62.1685     5.5579    16623771.5    16623.77  05:33:28   062:10:07  -0.00000
 08:09:34    62.3324     5.5846    16607385.1    16607.39  05:35:05   062:19:57  -0.00000
 08:09:35    62.4967     5.6112    16591108.9    16591.11  05:36:40   062:29:48  -0.00000
 08:09:36    62.6612     5.6376    16574943.1    16574.94  05:38:15   062:39:40  -0.00000
 08:09:37    62.8261     5.6639    16558888.1    16558.89  05:39:50   062:49:34  -0.00000
 08:09:38    62.9913     5.6900    16542944.3    16542.94  05:41:24   062:59:29  -0.00000
 08:09:39    63.1569     5.7160    16527112.0    16527.11  05:42:58   063:09:25  -0.00000
 08:09:40    63.3227     5.7418    16511391.5    16511.39  05:44:31   063:19:22  -0.00000
 08:09:41    63.4889     5.7675    16495783.2    16495.78  05:46:03   063:29:20  -0.00000
 08:09:42    63.6554     5.7931    16480287.4    16480.29  05:47:35   063:39:20  -0.00000
 08:09:43    63.8223     5.8184    16464904.4    16464.90  05:49:06   063:49:20  -0.00000
 08:09:44    63.9894     5.8437    16449634.7    16449.63  05:50:37   063:59:22  -0.00000
 08:09:45    64.1569     5.8687    16434478.5    16434.48  05:52:07   064:09:25  -0.00000
 08:09:46    64.3247     5.8937    16419436.2    16419.44  05:53:37   064:19:29  -0.00000
 08:09:47    64.4928     5.9184    16404508.1    16404.51  05:55:06   064:29:34  -0.00000
 08:09:48    64.6612     5.9430    16389694.5    16389.69  05:56:35   064:39:40  -0.00000
 08:09:49    64.8299     5.9675    16374995.8    16375.00  05:58:03   064:49:48  -0.00000
 08:09:50    64.9989     5.9917    16360412.3    16360.41  05:59:30   064:59:56  -0.00000
 08:09:51    65.1683     6.0159    16345944.4    16345.94  06:00:57   065:10:06  -0.00000
 08:09:52    65.3379     6.0398    16331592.3    16331.59  06:02:23   065:20:17  -0.00000
 08:09:53    65.5079     6.0636    16317356.5    16317.36  06:03:49   065:30:28  -0.00000
