#T(H:M:S)     AZ(D)      ELV(D)   RANGE(NS)       US         H'          A'       Rate[X]
 22:28:55   235.4656     5.0127    16908952.4    16908.95  05:00:46   235:27:56  -0.00000
 22:28:56   235.6084     5.0538    16883275.3    16883.28  05:03:14   235:36:30  -0.00000
 22:28:57   235.7515     5.0948    16857685.2    16857.69  05:05:41   235:45:06  -0.00000
 22:28:58   235.8951     5.1357    16832182.5    16832.18  05:08:09   235:53:43  -0.00000
 22:28:59   236.0392     5.1766    16806767.6    16806.77  05:10:36   236:02:21  -0.00000
 22:29:00   236.1837     5.2175    16781441.0    16781.44  05:13:03   236:11:01  -0.00000
 22:29:01   236.3287     5.2583    16756203.0    16756.20  05:15:30   236:19:43  -0.00000
 22:29:02   236.4741     5.2991    16731054.1    16731.05  05:17:57   236:28:27  -0.00000
 22:29:03   236.6200     5.3398    16705994.8    16705.99  05:20:23   236:37:12  -0.00000
 22:29:04   236.7663     5.3804    16681025.5    16681.03  05:22:50   236:45:59  -0.00000
 22:29:05   236.9130     5.4210    16656146.5    16656.15  05:25:16   236:54:47  -0.00000
 22:29:06   237.0602     5.4616    16631358.3    16631.36  05:27:42   237:03:37  -0.00000
 22:29:07   237.2079     5.5020    16606661.4    16606.66  05:30:07   237:12:28  -0.00000
 22:29:08   237.3560     5.5424    16582056.2    16582.06  05:32:33   237:21:22  -0.00000
 22:29:09   237.5046     5.5828    16557543.0    16557.54  05:34:58   237:30:16  -0.00000
 22:29:10   237.6536     5.6231    16533122.4    16533.12  05:37:23   237:39:13  -0.00000
 22:29:11   237.8031     5.6633    16508794.8    16508.79  05:39:48   237:48:11  -0.00000
 22:29:12   237.9530     5.7034    16484560.6    16484.56  05:42:12   237:57:11  -0.00000
 22:29:13   238.1034     5.7435    16460420.2    16460.42  05:44:37   238:06:12  -0.00000
 22:29:14   238.2542     5.7835    16436374.2    16436.37  05:47:01   238:15:15  -0.00000
 22:29:15   238.4055     5.8234    16412422.8    16412.42  05:49:24   238:24:20  -0.00000
 22:29:16   238.5572     5.8633    16388566.6    16388.57  05:51:48   238:33:26  -0.00000
 22:29:17   238.7094     5.9031    16364806.0    16364.81  05:54:11   238:42:34  -0.00000
 22:29:18   238.8621     5.9428    16341141.4    16341.14  05:56:34   238:51:44  -0.00000
 22:29:19   239.0152     5.9824    16317573.3    16317.57  05:58:57   239:00:55  -0.00000
 22:29:20   239.1688     6.0220    16294102.1    16294.10  06:01:19   239:10:08  -0.00000
 22:29:21   239.3228     6.0614    16270728.3    16270.73  06:03:41   239:19:22  -0.00000
 22:29:22   239.4773     6.1008    16247452.2    16247.45  06:06:03   239:28:38  -0.00000
 22:29:23   239.6323     6.1401    16224274.4    16224.27  06:08:24   239:37:56  -0.00000
 22:29:24   239.7877     6.1793    16201195.3    16201.20  06:10:46   239:47:16  -0.00000
 22:29:25   239.9435     6.2185    16178215.3    16178.22  06:13:06   239:56:37  -0.00000
